id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURXbE11WlVBEAE,"PENGIRIMAN TERBURUK, PAKET DIBAWA KABUR KURIR, STATUS SAMPAI TAPI BARANGNYA BELUM SAYA TERIMA SAMPAI SEKARANG, AKAN DISELIDIKI TAPI BELUM ADA KEJELASAN.",3 hours ago,2022-03-16 18:51:18.378056,1.0,Verdiansyah,0,0,https://www.google.com/maps/contrib/101982136531938117009/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXcl9XZlNREAE,"Saya berkomentar disini karena smua kurir dan atasan kurir dan pusat tidak merespon paket retur saya yg hilang seharga 500rb,sudah hari ke 8...jika ditelpon smuanya oper2an gak ada 1pun yg berani berbicara..kenapa??? Apakah kalian yg …",6 days ago,2022-03-16 18:51:18.379150,1.0,Dodo Sipetualang Babel,0,0,https://www.google.com/maps/contrib/110874800508065426803/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXbWN5TXNBRRAB,,2 weeks ago,2022-03-16 18:51:18.380353,1.0,Novi Lie,0,0,https://www.google.com/maps/contrib/110854326057276523745/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXbXA3NUpREAE,(Translated by Google) CS call center on behalf of Novi and Agung is not good at handling complaints.. officers who have no manners... …,2 weeks ago,2022-03-16 18:51:18.381343,1.0,Human Capital,0,0,https://www.google.com/maps/contrib/104384094251258986954/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNXaUxuRFRnEAE,"(Translated by Google) It's outrageous that the ninja company's courier salary has not been paid until today with the reason being returned!! It doesn't make sense that the salary is returned from the months before it comes in, it's just …",a month ago,2022-03-16 18:51:18.382364,1.0,Cut Annisa Ibrahim,0,0,https://www.google.com/maps/contrib/103278837032970021389/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXNEk3XzB3RRAB,,a month ago,2022-03-16 18:51:18.383465,4.0,Yufa,0,0,https://www.google.com/maps/contrib/107314322654160586507/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtNDRxNU1REAE,"(Translated by Google) Good morning, I apologize in advance that I have something to say about the delivery estimate and the etiquette of my employees (couriers) as a customer, I object to the courier for the Sunter Agung area rt 018 rw …",a month ago,2022-03-16 18:51:18.384444,1.0,Kani Delta,0,0,https://www.google.com/maps/contrib/103463459994565964143/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtdGFxMHdBRRAB,"(Translated by Google) Pls really this is for sellers of online shopee application sellers, lazada, etc. don't use ninja xpress courier! the goods did not arrive, even though it was urgent. most unclean expedition ever. …",a month ago,2022-03-16 18:51:18.385521,1.0,Agisna Fitriana,0,0,https://www.google.com/maps/contrib/111252962220221223575/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtLWJ1Y2R3EAE,"(Translated by Google) Very disappointed and untrustworthy, I have used the ninja express expedition twice, my goods were exchanged for other people's goods. …",a month ago,2022-03-16 18:51:18.386582,1.0,Safinatun najah,0,0,https://www.google.com/maps/contrib/113526156743111573249/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtbm92OHNnRRAB,,a month ago,2022-03-16 18:51:18.387603,1.0,bang jay,0,0,https://www.google.com/maps/contrib/114835882713706643724/reviews?hl=en-US
